epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,152.078,0.78347,0.57116,0.8742,0.99754,1,0.995,0.85591,0.59927,0.35955,0.8746,0.0004358,0.0004358,0.0004358
81,153.746,0.73208,0.59333,0.89699,0.9975,1,0.995,0.87046,0.57251,0.35341,0.86827,0.000416,0.000416,0.000416
82,155.331,0.71643,0.5765,0.8945,0.9976,1,0.995,0.86552,0.55592,0.37265,0.86332,0.0003962,0.0003962,0.0003962
83,156.89,0.68327,0.51891,0.87867,0.99763,1,0.995,0.85945,0.56976,0.38608,0.86561,0.0003764,0.0003764,0.0003764
84,158.511,0.73571,0.57186,0.92056,0.99772,1,0.995,0.84786,0.59892,0.36871,0.87387,0.0003566,0.0003566,0.0003566
85,159.995,0.69846,0.53317,0.91133,0.99771,1,0.995,0.84668,0.60367,0.35814,0.87081,0.0003368,0.0003368,0.0003368
86,161.558,0.77288,0.58223,0.90911,0.99806,1,0.995,0.84635,0.61214,0.34474,0.86007,0.000317,0.000317,0.000317
87,163.035,0.68765,0.54197,0.91952,0.99824,1,0.995,0.85357,0.58203,0.33924,0.85568,0.0002972,0.0002972,0.0002972
88,164.631,0.66315,0.54129,0.90035,0.99791,1,0.995,0.8805,0.56297,0.34125,0.85614,0.0002774,0.0002774,0.0002774
89,166.165,0.67064,0.51644,0.90395,0.9978,1,0.995,0.88584,0.55081,0.34599,0.85614,0.0002576,0.0002576,0.0002576
90,167.715,0.61632,0.5291,0.86427,0.99774,1,0.995,0.87144,0.53214,0.33539,0.85119,0.0002378,0.0002378,0.0002378
91,193.564,0.60588,0.52244,0.89279,0.99772,1,0.995,0.86699,0.52779,0.33675,0.84939,0.000218,0.000218,0.000218
92,195.224,0.56788,0.52058,0.85979,0.99761,1,0.995,0.86693,0.5608,0.33936,0.86276,0.0001982,0.0001982,0.0001982
93,196.773,0.61041,0.52727,0.89921,0.99754,1,0.995,0.83366,0.59819,0.3482,0.87143,0.0001784,0.0001784,0.0001784
94,198.582,0.66315,0.59164,0.87282,0.99749,1,0.995,0.83136,0.5927,0.35792,0.86548,0.0001586,0.0001586,0.0001586
95,200.097,0.55247,0.51466,0.84819,0.99752,1,0.995,0.84694,0.56572,0.35093,0.85832,0.0001388,0.0001388,0.0001388
96,202.089,0.61455,0.63647,0.93929,0.99758,1,0.995,0.86486,0.55752,0.3441,0.85595,0.000119,0.000119,0.000119
97,203.639,0.62613,0.53352,0.88083,0.99764,1,0.995,0.86557,0.55515,0.33988,0.85663,9.92e-05,9.92e-05,9.92e-05
98,205.17,0.59337,0.53155,0.85868,0.99766,1,0.995,0.86249,0.54511,0.33393,0.85508,7.94e-05,7.94e-05,7.94e-05
99,206.657,0.60598,0.52979,0.89715,0.99767,1,0.995,0.86249,0.53381,0.3312,0.85242,5.96e-05,5.96e-05,5.96e-05
100,208.2,0.57581,0.5109,0.88047,0.99763,1,0.995,0.87442,0.51661,0.32653,0.84955,3.98e-05,3.98e-05,3.98e-05
